"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяет, что товары сортируются по цене от высокой к низкой.","642","Проверяет, что товары сортируются по цене от высокой к низкой.","Sauce Demo SmokeTest","Sat Dec 14 11:32:18 GMT 2024","passed","Sat Dec 14 11:32:19 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceHighToLow"
"Проверяет, что товары сортируются по имени от Z до A.","656","Проверяет, что товары сортируются по имени от Z до A.","Sauce Demo SmokeTest","Sat Dec 14 11:31:54 GMT 2024","passed","Sat Dec 14 11:31:54 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameZtoA"
"Стоимость товара должна совпадать с ожидаемой ценой.","587","Стоимость товара должна совпадать с ожидаемой ценой.","Sauce Demo SmokeTest","Sat Dec 14 11:31:53 GMT 2024","passed","Sat Dec 14 11:31:53 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkItemPricesInCart"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","635","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 11:31:47 GMT 2024","passed","Sat Dec 14 11:31:48 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверка позитивного добавления товара в корзину.","771","Проверка позитивного добавления товара в корзину.","Sauce Demo SmokeTest","Sat Dec 14 11:31:48 GMT 2024","passed","Sat Dec 14 11:31:48 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addItemToCart"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","722","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 11:31:49 GMT 2024","passed","Sat Dec 14 11:31:49 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"","1867","locatorTest","Sauce Demo SmokeTest","Sat Dec 14 11:31:45 GMT 2024","passed","Sat Dec 14 11:31:47 GMT 2024","tests.LocatorTest","Thread#2","tests.LocatorTest","locatorTest"
"Проверяет, что товары могут быть добавлены и затем удалены из корзины.","10800","Проверяет, что товары могут быть добавлены и затем удалены из корзины.","Sauce Demo SmokeTest","Sat Dec 14 11:32:07 GMT 2024","passed","Sat Dec 14 11:32:18 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addAndRemoveMultipleItems"
"Проверка удаления товара из корзины.","10667","Товар должен удаляться из корзины","Sauce Demo SmokeTest","Sat Dec 14 11:31:55 GMT 2024","passed","Sat Dec 14 11:32:05 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeItemFromCart"
"Проверка входа в систему интернет магазина юзера с позитивными кредами.","1653","Проверка позитивного логина","Sauce Demo SmokeTest","Sat Dec 14 11:31:45 GMT 2024","passed","Sat Dec 14 11:31:47 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверяет, что пользователь может выйти через меню бургера.","1341","Проверяет, что пользователь может выйти через меню бургера.","Sauce Demo SmokeTest","Sat Dec 14 11:31:49 GMT 2024","passed","Sat Dec 14 11:31:50 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkLogoutFromBurgerMenu"
"Проверяет, что товары сортируются по имени от A до Z.","683","Проверяет, что товары сортируются по имени от A до Z.","Sauce Demo SmokeTest","Sat Dec 14 11:31:52 GMT 2024","passed","Sat Dec 14 11:31:52 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameAtoZ"
"Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","645","Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","Sauce Demo SmokeTest","Sat Dec 14 11:32:19 GMT 2024","passed","Sat Dec 14 11:32:20 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
"Проверка позитивного добавления нескольких товаров в корзину","658","Проверка позитивного добавления товаров в корзину","Sauce Demo SmokeTest","Sat Dec 14 11:31:51 GMT 2024","passed","Sat Dec 14 11:31:51 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItemsToCart"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","502","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 11:31:50 GMT 2024","passed","Sat Dec 14 11:31:50 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что товары сортируются по цене от низкой к высокой.","695","Проверяет, что товары сортируются по цене от низкой к высокой.","Sauce Demo SmokeTest","Sat Dec 14 11:32:06 GMT 2024","passed","Sat Dec 14 11:32:06 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceLowToHigh"
