"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","424","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:19:21 GMT 2024","passed","Fri Dec 13 13:19:21 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Стоимость товара должна совпадать с ожидаемой ценой.","554","Стоимость товара должна совпадать с ожидаемой ценой.","Sauce Demo SmokeTest","Fri Dec 13 13:19:24 GMT 2024","passed","Fri Dec 13 13:19:24 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkItemPricesInCart"
"","1145","locatorTest","Sauce Demo SmokeTest","Fri Dec 13 13:19:17 GMT 2024","passed","Fri Dec 13 13:19:18 GMT 2024","tests.LocatorTest","Thread#2","tests.LocatorTest","locatorTest"
"Проверка удаления товара из корзины.","10595","Товар должен удаляться из корзины","Sauce Demo SmokeTest","Fri Dec 13 13:19:26 GMT 2024","passed","Fri Dec 13 13:19:36 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeItemFromCart"
"Проверяет, что товары сортируются по цене от высокой к низкой.","586","Проверяет, что товары сортируются по цене от высокой к низкой.","Sauce Demo SmokeTest","Fri Dec 13 13:19:49 GMT 2024","passed","Fri Dec 13 13:19:49 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceHighToLow"
"Проверяет, что товары сортируются по имени от A до Z.","601","Проверяет, что товары сортируются по имени от A до Z.","Sauce Demo SmokeTest","Fri Dec 13 13:19:23 GMT 2024","passed","Fri Dec 13 13:19:23 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameAtoZ"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","621","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:19:20 GMT 2024","passed","Fri Dec 13 13:19:20 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что товары могут быть добавлены и затем удалены из корзины.","10729","Проверяет, что товары могут быть добавлены и затем удалены из корзины.","Sauce Demo SmokeTest","Fri Dec 13 13:19:37 GMT 2024","passed","Fri Dec 13 13:19:48 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addAndRemoveMultipleItems"
"Проверка позитивного добавления нескольких товаров в корзину","626","Проверка позитивного добавления товаров в корзину","Sauce Demo SmokeTest","Fri Dec 13 13:19:22 GMT 2024","passed","Fri Dec 13 13:19:22 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItemsToCart"
"Проверка позитивного добавления товара в корзину.","766","Проверка позитивного добавления товара в корзину.","Sauce Demo SmokeTest","Fri Dec 13 13:19:19 GMT 2024","passed","Fri Dec 13 13:19:19 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addItemToCart"
"Проверка входа в систему интернет магазина юзера с позитивными кредами.","1052","Проверка позитивного логина","Sauce Demo SmokeTest","Fri Dec 13 13:19:17 GMT 2024","passed","Fri Dec 13 13:19:18 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
"Проверяет, что товары сортируются по цене от низкой к высокой.","610","Проверяет, что товары сортируются по цене от низкой к высокой.","Sauce Demo SmokeTest","Fri Dec 13 13:19:37 GMT 2024","passed","Fri Dec 13 13:19:37 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceLowToHigh"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","563","Проверка негативного логина","Sauce Demo SmokeTest","Fri Dec 13 13:19:19 GMT 2024","passed","Fri Dec 13 13:19:19 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что пользователь может выйти через меню бургера.","1303","Проверяет, что пользователь может выйти через меню бургера.","Sauce Demo SmokeTest","Fri Dec 13 13:19:20 GMT 2024","passed","Fri Dec 13 13:19:21 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkLogoutFromBurgerMenu"
"Проверяет, что товары сортируются по имени от Z до A.","601","Проверяет, что товары сортируются по имени от Z до A.","Sauce Demo SmokeTest","Fri Dec 13 13:19:25 GMT 2024","passed","Fri Dec 13 13:19:25 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameZtoA"
"Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","593","Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","Sauce Demo SmokeTest","Fri Dec 13 13:19:50 GMT 2024","passed","Fri Dec 13 13:19:50 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
