"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","460","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 10:40:57 GMT 2024","passed","Sat Dec 14 10:40:58 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что товары сортируются по цене от высокой к низкой.","641","Проверяет, что товары сортируются по цене от высокой к низкой.","Sauce Demo SmokeTest","Sat Dec 14 10:41:26 GMT 2024","passed","Sat Dec 14 10:41:26 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceHighToLow"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","629","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 10:40:56 GMT 2024","passed","Sat Dec 14 10:40:57 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверка позитивного добавления товара в корзину.","862","Проверка позитивного добавления товара в корзину.","Sauce Demo SmokeTest","Sat Dec 14 10:40:55 GMT 2024","passed","Sat Dec 14 10:40:56 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addItemToCart"
"Проверяет, что товары сортируются по имени от Z до A.","640","Проверяет, что товары сортируются по имени от Z до A.","Sauce Demo SmokeTest","Sat Dec 14 10:41:01 GMT 2024","passed","Sat Dec 14 10:41:02 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameZtoA"
"Проверяет, что товары сортируются по цене от низкой к высокой.","662","Проверяет, что товары сортируются по цене от низкой к высокой.","Sauce Demo SmokeTest","Sat Dec 14 10:41:13 GMT 2024","passed","Sat Dec 14 10:41:14 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkSortByPriceLowToHigh"
"","1386","locatorTest","Sauce Demo SmokeTest","Sat Dec 14 10:40:53 GMT 2024","passed","Sat Dec 14 10:40:55 GMT 2024","tests.LocatorTest","Thread#2","tests.LocatorTest","locatorTest"
"Стоимость товара должна совпадать с ожидаемой ценой.","586","Стоимость товара должна совпадать с ожидаемой ценой.","Sauce Demo SmokeTest","Sat Dec 14 10:41:00 GMT 2024","passed","Sat Dec 14 10:41:01 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","checkItemPricesInCart"
"Проверка негативного входа в систему: негативный username, негативный password, некорректное значение password.","621","Проверка негативного логина","Sauce Demo SmokeTest","Sat Dec 14 10:40:55 GMT 2024","passed","Sat Dec 14 10:40:56 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLoginWithInvalidData"
"Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","634","Проверяет, что кнопка 'Continue Shopping' возвращает пользователя на страницу товаров.","Sauce Demo SmokeTest","Sat Dec 14 10:41:27 GMT 2024","passed","Sat Dec 14 10:41:27 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","continueShopping"
"Проверка удаления товара из корзины.","10629","Товар должен удаляться из корзины","Sauce Demo SmokeTest","Sat Dec 14 10:41:02 GMT 2024","passed","Sat Dec 14 10:41:13 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","removeItemFromCart"
"Проверяет, что пользователь может выйти через меню бургера.","1356","Проверяет, что пользователь может выйти через меню бургера.","Sauce Demo SmokeTest","Sat Dec 14 10:40:57 GMT 2024","passed","Sat Dec 14 10:40:58 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkLogoutFromBurgerMenu"
"Проверяет, что товары могут быть добавлены и затем удалены из корзины.","10734","Проверяет, что товары могут быть добавлены и затем удалены из корзины.","Sauce Demo SmokeTest","Sat Dec 14 10:41:14 GMT 2024","passed","Sat Dec 14 10:41:25 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addAndRemoveMultipleItems"
"Проверка позитивного добавления нескольких товаров в корзину","660","Проверка позитивного добавления товаров в корзину","Sauce Demo SmokeTest","Sat Dec 14 10:40:58 GMT 2024","passed","Sat Dec 14 10:40:59 GMT 2024","tests.CartTest","Thread#2","tests.CartTest","addMultipleItemsToCart"
"Проверяет, что товары сортируются по имени от A до Z.","654","Проверяет, что товары сортируются по имени от A до Z.","Sauce Demo SmokeTest","Sat Dec 14 10:40:59 GMT 2024","passed","Sat Dec 14 10:41:00 GMT 2024","tests.ProductTest","Thread#2","tests.ProductTest","checkProductSortByNameAtoZ"
"Проверка входа в систему интернет магазина юзера с позитивными кредами.","1187","Проверка позитивного логина","Sauce Demo SmokeTest","Sat Dec 14 10:40:53 GMT 2024","passed","Sat Dec 14 10:40:55 GMT 2024","tests.LoginTest","Thread#1","tests.LoginTest","checkLogin"
